Product_ID,Product_Name,Category,Subcategory,Brand,Supplier_ID,Unit_Cost_INR,Selling_Price_INR,Profit_Margin_Percent,Weight_Kg,Warranty_Months,GST_Rate,Launch_Date,Reorder_Level,Product_Status
PRD00001,Cosco Cycling 1,Sports,Cycling,Cosco,SUP0060,11695,16606.9,42,7.15,6,18,2019-04-30,135,Active
PRD00002,Samsung Laptop 2,Electronics,Laptop,Samsung,SUP0353,102508,134285.48,31,39.58,24,28,2022-08-28,203,Active
PRD00003,Nestle Oil 3,Grocery,Oil,Nestle,SUP0036,508,665.48,31,23.59,12,18,2020-03-17,168,Active
PRD00004,Nike Gym 4,Sports,Gym,Nike,SUP0098,8000,11520.0,44,7.62,12,12,2019-07-21,42,Active
PRD00005,Nike Badminton 5,Sports,Badminton,Nike,SUP0242,6254,8818.14,41,25.26,36,12,2021-08-13,267,Active
PRD00006,Dove Face Wash 6,Beauty,Face Wash,Dove,SUP0005,1238,1485.6,20,9.0,0,18,2022-12-31,121,Active
PRD00007,L'Oreal Face Wash 7,Beauty,Face Wash,L'Oreal,SUP0367,1016,1361.44,34,2.46,24,5,2024-04-25,82,Active
PRD00008,HP Headphones 8,Electronics,Headphones,HP,SUP0140,85582,100130.94,17,3.07,24,18,2020-12-31,288,Active
PRD00009,Godrej Sofa 9,Furniture,Sofa,Godrej,SUP0135,65326,94722.7,45,38.95,36,18,2024-06-20,53,Active
PRD00010,Amul Beverages 10,Grocery,Beverages,Amul,SUP0452,1287,1698.84,32,37.72,0,18,2021-10-29,87,Active
PRD00011,IFB AC 11,Home Appliances,AC,IFB,SUP0177,53397,72085.95,35,36.49,0,18,2020-06-30,162,Active
PRD00012,Hasbro Action Figure 12,Toys,Action Figure,Hasbro,SUP0120,767,1050.79,37,22.45,0,18,2023-08-17,91,Active
PRD00013,McGraw Hill Novel 13,Books,Novel,McGraw Hill,SUP0306,1099,1582.56,44,14.69,0,18,2022-08-25,274,Active
PRD00014,Samsung TV 14,Electronics,TV,Samsung,SUP0354,84221,114540.56,36,32.13,24,28,2021-06-18,132,Active
PRD00015,IFB Mixer 15,Home Appliances,Mixer,IFB,SUP0275,42294,48638.1,15,27.92,36,12,2020-11-13,116,Active
