Supplier_ID,Supplier_Name,Category,City,State,GST_Number,Lead_Time_Days,Supplier_Rating,Payment_Terms,Preferred_Supplier,Active_Status,Contact_Email
SUP0001,Mumbai Grocery Supplies Pvt Ltd,Grocery,Mumbai,Maharashtra,69ABCDE7060F1Z2,6,4.4,45 Days,No,Active,contact1@supplier.in
SUP0002,Jaipur Electronics Supplies Pvt Ltd,Electronics,Jaipur,Rajasthan,57ABCDE9961F1Z7,20,4.0,45 Days,No,Active,contact2@supplier.in
SUP0003,Bengaluru Fashion Supplies Pvt Ltd,Fashion,Bengaluru,Karnataka,30ABCDE9395F1Z8,5,3.8,30 Days,No,Active,contact3@supplier.in
SUP0004,Jaipur Toys Supplies Pvt Ltd,Toys,Jaipur,Rajasthan,58ABCDE2040F1Z1,7,3.5,60 Days,No,Active,contact4@supplier.in
SUP0005,Mumbai Home Appliances Supplies Pvt Ltd,Home Appliances,Mumbai,Maharashtra,76ABCDE2688F1Z1,4,3.6,30 Days,No,Active,contact5@supplier.in
SUP0006,Kolkata Beauty Supplies Pvt Ltd,Beauty,Kolkata,West Bengal,31ABCDE3069F1Z2,16,3.7,45 Days,No,Active,contact6@supplier.in
SUP0007,Jaipur Grocery Supplies Pvt Ltd,Grocery,Jaipur,Rajasthan,96ABCDE2152F1Z9,7,3.7,60 Days,No,Active,contact7@supplier.in
SUP0008,Kolkata Beauty Supplies Pvt Ltd,Beauty,Kolkata,West Bengal,70ABCDE7798F1Z2,3,4.4,45 Days,No,Active,contact8@supplier.in
SUP0009,Bengaluru Home Appliances Supplies Pvt Ltd,Home Appliances,Bengaluru,Karnataka,23ABCDE9768F1Z7,11,4.1,45 Days,No,Active,contact9@supplier.in
SUP0010,New Delhi Electronics Supplies Pvt Ltd,Electronics,New Delhi,Delhi,26ABCDE1279F1Z6,5,3.2,30 Days,No,Active,contact10@supplier.in
SUP0011,Kolkata Grocery Supplies Pvt Ltd,Grocery,Kolkata,West Bengal,53ABCDE7317F1Z2,16,4.9,60 Days,Yes,Active,contact11@supplier.in
SUP0012,Indore Furniture Supplies Pvt Ltd,Furniture,Indore,Madhya Pradesh,34ABCDE7610F1Z5,14,4.7,60 Days,Yes,Active,contact12@supplier.in
SUP0013,Noida Sports Supplies Pvt Ltd,Sports,Noida,Uttar Pradesh,78ABCDE3913F1Z4,7,3.7,60 Days,No,Active,contact13@supplier.in
SUP0014,Mumbai Furniture Supplies Pvt Ltd,Furniture,Mumbai,Maharashtra,54ABCDE4076F1Z4,9,4.9,45 Days,Yes,Active,contact14@supplier.in
SUP0015,Ahmedabad Furniture Supplies Pvt Ltd,Furniture,Ahmedabad,Gujarat,17ABCDE2572F1Z1,18,3.1,30 Days,No,Active,contact15@supplier.in
SUP0016,Jaipur Toys Supplies Pvt Ltd,Toys,Jaipur,Rajasthan,74ABCDE2827F1Z6,18,4.8,45 Days,Yes,Active,contact16@supplier.in
SUP0017,Kolkata Sports Supplies Pvt Ltd,Sports,Kolkata,West Bengal,23ABCDE4596F1Z2,2,3.3,60 Days,No,Active,contact17@supplier.in
SUP0018,Chennai Sports Supplies Pvt Ltd,Sports,Chennai,Tamil Nadu,33ABCDE7162F1Z2,2,3.9,45 Days,No,Active,contact18@supplier.in
SUP0019,Ludhiana Home Appliances Supplies Pvt Ltd,Home Appliances,Ludhiana,Punjab,98ABCDE4973F1Z4,6,4.1,30 Days,No,Active,contact19@supplier.in
SUP0020,Hyderabad Books Supplies Pvt Ltd,Books,Hyderabad,Telangana,92ABCDE2205F1Z8,10,4.4,60 Days,No,Active,contact20@supplier.in
SUP0021,Noida Furniture Supplies Pvt Ltd,Furniture,Noida,Uttar Pradesh,70ABCDE3462F1Z5,8,3.0,60 Days,No,Active,contact21@supplier.in
SUP0022,Hyderabad Books Supplies Pvt Ltd,Books,Hyderabad,Telangana,80ABCDE8976F1Z9,11,5.0,60 Days,Yes,Active,contact22@supplier.in
SUP0023,Ahmedabad Toys Supplies Pvt Ltd,Toys,Ahmedabad,Gujarat,37ABCDE3524F1Z1,4,4.6,60 Days,Yes,Active,contact23@supplier.in
SUP0024,Kochi Fashion Supplies Pvt Ltd,Fashion,Kochi,Kerala,34ABCDE4234F1Z9,9,4.8,30 Days,Yes,Active,contact24@supplier.in
SUP0025,Kolkata Books Supplies Pvt Ltd,Books,Kolkata,West Bengal,53ABCDE8510F1Z8,4,3.8,60 Days,No,Active,contact25@supplier.in
SUP0026,New Delhi Fashion Supplies Pvt Ltd,Fashion,New Delhi,Delhi,52ABCDE6977F1Z2,13,4.6,45 Days,Yes,Active,contact26@supplier.in
SUP0027,Kolkata Beauty Supplies Pvt Ltd,Beauty,Kolkata,West Bengal,40ABCDE8586F1Z3,8,3.6,45 Days,No,Active,contact27@supplier.in
SUP0028,Ahmedabad Furniture Supplies Pvt Ltd,Furniture,Ahmedabad,Gujarat,77ABCDE1796F1Z3,11,4.7,45 Days,Yes,Active,contact28@supplier.in
SUP0029,New Delhi Furniture Supplies Pvt Ltd,Furniture,New Delhi,Delhi,74ABCDE4108F1Z5,20,3.3,45 Days,No,Active,contact29@supplier.in
SUP0030,Ludhiana Home Appliances Supplies Pvt Ltd,Home Appliances,Ludhiana,Punjab,75ABCDE6941F1Z3,5,5.0,30 Days,Yes,Active,contact30@supplier.in
SUP0031,Hyderabad Toys Supplies Pvt Ltd,Toys,Hyderabad,Telangana,22ABCDE3524F1Z9,10,4.5,45 Days,Yes,Active,contact31@supplier.in
SUP0032,Jaipur Books Supplies Pvt Ltd,Books,Jaipur,Rajasthan,70ABCDE9891F1Z2,19,4.3,30 Days,No,Active,contact32@supplier.in
SUP0033,Kolkata Books Supplies Pvt Ltd,Books,Kolkata,West Bengal,23ABCDE4368F1Z8,11,4.6,60 Days,Yes,Active,contact33@supplier.in
